location_id,county,city,state,zip_code
488,Pierce,Edgewood,WA,98371
489,Lewis,Toledo,WA,98591
490,Skagit,Rockport,WA,98283
491,Walla Walla,Burbank,WA,99323
492,Spokane,Newman Lake,WA,99025
493,King,Seattle,WA,98055
494,Asotin,Clarkston,WA,99403
495,Whitman,Colfax,WA,99111
496,Klickitat,Bz Corner,WA,98672
497,King,Kirkland,WA,98072
498,Whatcom,Sumas,WA,98295
499,Pierce,Kapowsin,WA,98344
500,Lewis,Silver Creek,WA,98585
501,Franklin,Connell,WA,99326
502,Mason,Allyn,WA,98524
503,Kitsap,Bremerton,WA,98314
504,Lewis,Salkum,WA,98582
505,Asotin,Asotin,WA,99402
506,Klickitat,Dallesport,WA,98617
507,Lewis,Ethel,WA,98542
508,King,Kent,WA,98092
509,Pacific,Seaview,WA,98644
510,Douglas,Palisades,WA,98845
511,Lincoln,Wilbur,WA,99185
512,Klickitat,Snowden,WA,98672
513,King,Maple Valley,WA,98051
514,Skamania,White Salmon,WA,98672
515,Adams,Ritzville,WA,99169
516,Pierce,Tacoma,WA,98493
517,Lewis,Mineral,WA,98355
518,San Juan,Lopez Is,WA,98261
519,King,Woodinville,WA,98052
520,Pend Oreille,Elk,WA,99009
521,Pierce,Fife,WA,98424
522,Spokane,Rosalia,WA,99170
523,Spokane,Cheney,WA,99022
524,Franklin,Mesa,WA,99343
525,Mason,Tahuya,WA,98588
526,Pend Oreille,Newport,WA,99156
527,Lewis,Cinebar,WA,98533
528,Pierce,Joint Base Lewis Mcchord,WA,98438
529,Clallam,Neah Bay,WA,98357
530,Pacific,Ilwaco,WA,98624
531,Thurston,Oakville,WA,98568
532,Pierce,Tacoma,WA,98409
533,Spokane,Mica,WA,99023
534,King,Ravensdale,WA,98051
535,Pierce,Vaughn,WA,98394
536,Spokane,Spokane,WA,99005
537,Okanogan,Tonasket,WA,98855
538,Spokane,Veradale,WA,99016
539,King,Issaquah,WA,98006
540,Ferry,Republic,WA,99166
541,Snohomish,Edmonds,WA,98087
542,Spokane,Spangle,WA,99031
543,King,Seattle,WA,98148
544,Benton,Paterson,WA,99345
545,Wahkiakum,Skamokawa,WA,98647
546,Spokane,Chattaroy,WA,99021
547,Grant,Soap Lake,WA,98851
548,Benton,Grandview,WA,98930
549,Spokane,Spokane Valley,WA,99027
550,Okanogan,Omak,WA,98841
551,King,Seatac,WA,98032
552,King,Bellevue,WA,98027
553,Wahkiakum,Rosburg,WA,98643
554,Wahkiakum,Naselle,WA,98638
555,Okanogan,Mazama,WA,98833
556,San Juan,Orcas Is,WA,98245
557,Spokane,Edwall,WA,99008
558,Chelan,Malaga,WA,98828
559,King,Kent,WA,98038
560,King,Maple Valley,WA,98059
561,Pierce,Wilkeson,WA,98396
562,Stevens,Kettle Falls,WA,99141
563,Whatcom,Custer,WA,98240
564,King,Duvall,WA,98072
565,Snohomish,Shoreline,WA,98177
566,Pierce,University Place,WA,98466
567,King,Black Diamond,WA,98042
568,Pend Oreille,Cusick,WA,99119
569,King,Renton,WA,98038
570,Spokane,Latah,WA,99018
571,Grays Harbor,Copalis Beach,WA,98535
572,Spokane,Spokane,WA,99021
573,King,Seatac,WA,98158
574,Lewis,Curtis,WA,98538
575,Okanogan,Methow,WA,98846
576,Douglas,Rock Island,WA,98850
577,Pierce,Longbranch,WA,98351
578,Yakima,Prosser,WA,99350
579,Pacific,Bay Center,WA,98527
580,Whitman,Lamont,WA,99017
581,Clallam,Beaver,WA,98305
582,Okanogan,Riverside,WA,98849
583,King,Maple Valley,WA,98010
584,Whatcom,Nooksack,WA,98276
585,Grays Harbor,Pacific Beach,WA,98571
586,Okanogan,Malott,WA,98840
587,King,Issaquah,WA,98059
588,Okanogan,Methow,WA,98834
589,Klickitat,Roosevelt,WA,99356
590,King,Ravensdale,WA,98038
591,Ferry,Kettle Falls,WA,99141
592,Pierce,Tacoma,WA,98401
593,Ferry,Inchelium,WA,99138
594,Grays Harbor,Satsop,WA,98583
595,Franklin,Eltopia,WA,99330
596,Grays Harbor,Copalis Crossing,WA,98536
597,King,Maple Valley,WA,98058
598,Adams,Hatton,WA,99344
599,Spokane,Deer Park,WA,99003
600,Klickitat,Lyle,WA,98635
601,Whatcom,Maple Falls,WA,98266
602,Skagit,Hamilton,WA,98255
603,Spokane,Otis Orchards,WA,99027
604,Pacific,Nahcotta,WA,98640
605,King,Seattle,WA,98198
606,Lewis,Glenoma,WA,98336
607,Yakima,White Swan,WA,98952
608,Okanogan,Coulee Dam,WA,99116
609,Ferry,Curlew,WA,99118
610,Spokane,Greenacres,WA,99019
611,Lewis,Glenoma,WA,98356
612,Spokane,Rockford,WA,99030
613,Stevens,Rice,WA,99167
614,Douglas,Bridgeport Bar,WA,98812
615,King,Issaquah,WA,98075
616,Whitman,Uniontown,WA,99179
617,Lincoln,Seven Bays,WA,99122
618,Pierce,University Place,WA,98467
619,Klickitat,Wahkiacus,WA,98670
620,Pacific,Surfside,WA,98640
621,Thurston,Olympia,WA,98504
622,Stevens,Loon Lake,WA,99148
623,Pierce,Tacoma,WA,98443
624,King,Seattle,WA,98124
625,King,Preston,WA,98027
626,Grant,Coulee City,WA,99115
627,Yakima,Moxee,WA,98901
628,Lincoln,Lincoln,WA,99147
629,King,Snoqualmie,WA,98024
630,Stevens,Gifford,WA,99131
631,King,Baring,WA,98224
632,Whatcom,Deming,WA,98244
633,Grays Harbor,Moclips,WA,98562
634,Okanogan,Carlton,WA,98814
635,Grant,Electric City,WA,99123
636,Garfield,Pomeroy,WA,99347
637,Klickitat,Murdock,WA,98635
638,Skagit,Darrington,WA,98241
639,Grays Harbor,Quinault,WA,98575
640,Pierce,Ashford,WA,98304
641,Pacific,South Bend,WA,98577
642,Spokane,Waverly,WA,99039
643,Lewis,Napavine,WA,98565
644,Cowlitz,Cougar,WA,98616
645,Ferry,Danville,WA,99121
646,King,Redmond,WA,98014
647,Lincoln,Harrington,WA,99134
648,Kittitas,Thorp,WA,98946
649,Whitman,St John,WA,99171
650,Skagit,Concrete,WA,98237
651,Lincoln,Deer Meadows,WA,99122
652,Grant,Lakeview,WA,98851
653,King,Redmond,WA,98074
654,Grant,Marlin,WA,98832
655,Lincoln,Grand Coulee,WA,99133
656,Okanogan,Elmer City,WA,99124
657,Lewis,Pe Ell,WA,98572
658,Spokane,Fairchild Air Force Base,WA,99011
659,Grant,Grand Coulee,WA,99133
660,King,Black Diamond,WA,98092
661,King,Snoqualmie Pass,WA,98068
662,Island,Langley,WA,98249
663,Lewis,Chehalis,WA,98531
664,Lewis,Curtis,WA,98532
665,Pacific,Frances,WA,98577
666,Lewis,Napavine,WA,98532
667,Stevens,Valley,WA,99181
668,Spokane,Spangle,WA,99004
669,King,Maple Valley,WA,98045
670,King,Seattle,WA,98188
671,Pacific,Oysterville,WA,98641
672,Okanogan,Nespelem,WA,99155
673,Spokane,Newman Lake,WA,99027
674,Okanogan,Pateros,WA,98846
675,Kittitas,South Cle Elum,WA,98943
676,Stevens,Clayton,WA,99110
677,Whatcom,Acme,WA,98220
678,Lincoln,Reardan,WA,99029
679,Grant,Hartline,WA,99135
680,Douglas,Waterville,WA,98858
681,Skagit,Lyman,WA,98263
682,Stevens,Addy,WA,99101
683,Wahkiakum,Grays River,WA,98621
684,Grant,Stratford,WA,98853
685,King,Renton,WA,98031
686,Pacific,Menlo,WA,98577
687,Pierce,Elbe,WA,98330
688,Kitsap,Port Gamble,WA,98370
689,Pacific,Lebam,WA,98577
690,Snohomish,Stanwood,WA,98271
691,King,Auburn,WA,98022
692,Spokane,Colbert,WA,99208
693,King,Snoqualmie Pass,WA,98045
694,Pierce,Tacoma,WA,98411
695,Spokane,Spokane,WA,99031
696,Spokane,Cheney,WA,99224
697,King,Preston,WA,98024
698,Pierce,Artondale,WA,98335
699,Pacific,Oysterville,WA,98640
700,Douglas,Coulee City,WA,99115
701,King,Des Moines,WA,98003
702,King,Maple Valley,WA,98027
703,King,Renton,WA,98042
704,Skamania,Bingen,WA,98605
705,Lincoln,Ford,WA,99013
706,King,Bellevue,WA,98033
707,King,North Bend,WA,98065
708,Pierce,South Prairie,WA,98385
709,Grays Harbor,Amanda Park,WA,98526
710,King,Kent,WA,98001
711,Benton,Rich,WA,99352
712,Okanogan,Chelan,WA,98816
713,Douglas,Mansfield,WA,98830
714,Lincoln,Sprague,WA,99032
715,Stevens,Ford,WA,99013
716,Walla Walla,Walla Walla Co,WA,99362
717,Snohomish,Edmonds,WA,98036
718,Chelan,Dryden,WA,98821
719,Stevens,Northport,WA,99157
720,King,Pacific,WA,98001
721,Spokane,Chattaroy,WA,99006
722,Cowlitz,Silver Lake,WA,98645
723,Stevens,Hunters,WA,99137
724,San Juan,San Juan Is,WA,98250
725,Klickitat,Alderdale,WA,99350
